enumeration_category,enumeration_name,value
Tag,Certificate Issuer L,42011A
Tag,Certificate Issuer UID,42011B
Tag,Certificate Issuer Serial Number,42011C
Tag,Certificate Issuer Title,42011D
Tag,Certificate Issuer DC,42011E
Tag,Certificate Issuer DN Qualifier,42011F
Tag,Sensitive,420120
Tag,Always Sensitive,420121
Tag,Extractable,420122
Tag,Never Extractable,420123
Tag,Replace Existing,420124
Tag,Attributes,420125
Tag,Common Attributes,420126
Tag,Private Key Attributes,420127
Tag,Public Key Attributes,420128
Tag,Extension Enumeration,420129
Tag,Extension Attribute,42012A
Tag,Extension Parent Structure Tag,42012B
Tag,Extension Description,42012C
Tag,Server Name,42012D
Tag,Server Serial Number,42012E
Tag,Server Version,42012F
Tag,Server Load,420130
Tag,Product Name,420131
Tag,Build Level,420132
Tag,Build Date,420133
Tag,Cluster Info,420134
Tag,Alternate Failover Endpoints,420135
Tag,Short Unique Identifier,420136
Tag,Reserved,420137
Tag,Tag,420138
Tag,Certificate Request Unique Identifier,420139
Tag,NIST Key Type,42013A
Tag,Attribute Reference,42013B
Tag,Current Attribute,42013C
Tag,New Attribute,42013D
Tag,(Reserved),42013E
Tag,(Reserved),42013F
Tag,Certificate Request Value,420140
Tag,Log Message,420141
Tag,Profile Version,420142
Tag,Profile Version Major,420143
Tag,Profile Version Minor,420144
Tag,Protection Level,420145
Tag,Protection Period,420146
Tag,Quantum Safe,420147
Tag,Quantum Safe Capability,420148
Tag,Ticket,420149
Tag,Ticket Type,42014A
Tag,Ticket Value,42014B
Tag,Request Count,42014C
Tag,Rights,42014D
Tag,Objects,42014E
Tag,Operations,42014F
Tag,Right,420150
Tag,Endpoint Role,420151
Tag,Defaults Information,420152
Tag,Object Defaults,420153
Tag,Ephemeral,420154
Tag,Server Hashed Password,420155
Tag,One Time Password,420156
Tag,Hashed Password,420157
Tag,Adjustment Type,420158
Tag,PKCS#11 Interface,420159
Tag,PKCS#11 Function,42015A
Tag,PKCS#11 Input Parameters,42015B
Tag,PKCS#11 Output Parameters,42015C
Tag,PKCS#11 Return Code,42015D
Tag,Protection Storage Mask,42015E
Tag,Protection Storage Masks,42015F
Tag,Interop Function,420160
Tag,Interop Identifier,420161
Tag,Adjustment Value,420162
Tag,Common Protection Storage Masks,420163
Tag,Private Protection Storage Masks,420164
Tag,Public Protection Storage Masks,420165
Tag,Object Groups,420166
Tag,Object Types,420167
Tag,Constraints,420168
Tag,Constraint,420169
Tag,Rotate Interval,0x42016A
Tag,Rotate Automatic,0x42016B
Tag,Rotate Offset,0x42016C
Tag,Rotate Date,0x42016D
Tag,Rotate Generation,0x42016E
Tag,Rotate Name,0x42016F
Tag,(Reserved),0x420170
Tag,(Reserved),0x420171
Tag,Rotate Latest,0x420172
Tag,Asynchronous Request,0x420173
Tag,Submission Date,0x420174
Tag,Processing Stage,0x420175
Tag,Asynchronous Correlation Values,0x420176
Tag,Certificate Link,0x420190
Tag,Child Link,0x420191
Tag,Derivation Object Link,0x420192
Tag,Derived Object Link,0x420193
Tag,Next Link,0x420194
Tag,Parent Link,0x420195
Tag,PKCS#12 Certificate Link,0x420196
Tag,PKCS#12 Password Link,0x420197
Tag,Previous Link,0x420198
Tag,Private Key Link,0x420199
Tag,Public Key Link,0x42019A
Tag,Replaced Object Link,0x42019B
Tag,Replacement Object Link,0x42019C
Tag,Wrapping Key Link,0x42019D
Tag,Object Class,0x42019E
Tag,Object Class Mask,0x42019F
Tag,Credential Link,0x4201A0
Tag,Password Credential,0x4201A1
Tag,Password Salt,0x4201A2
Tag,Password Salt Algorithm,0x4201A3
Tag,Salted Password,0x4201A4
Tag,Password Link,0x4201A5
Tag,Device Credential,0x4201A6
Tag,OTP Credential,0x4201A7
Tag,OTP Algorithm,0x4201A8
Tag,OTP Digest,0x4201A9
Tag,OTP Serial,0x4201AA
Tag,OTP Seed,0x4201AB
Tag,OTP Interval,0x4201AC
Tag,OTP Digits,0x4201AD
Tag,OTP Counter,0x4201AE
Tag,Hashed Password Credential,0x4201AF
Tag,Hashed Username Password,0x4201B0
Tag,Hashed Password Username,0x4201B1
Tag,Credential Information,0x4201B2
Tag,Group Link,0x4201B3
Tag,Split Key Base Link,0x4201B4
Tag,Joined Split Key Parts Link,0x4201B5
Tag,Split Key Polynomial,0x4201B6
Tag,Deactivation Message,0x4201B7
Tag,Deactivation Reason,0x4201B8
Tag,Deactivation Reason Code,0x4201B9
Tag,Certificate Subject DN,0x4201BA
Tag,Certificate Issuer DN,0x4201BB
Tag,Certificate Request Link,0x4201BC
Tag,Certify Counter,0x4201BD
Tag,Decrypt Counter,0x4201BE
Tag,Encrypt Counter,0x4201BF
Tag,Sign Counter,0x4201C0
Tag,Signature Verify Counter,0x4201C1
Tag,NIST Security Category,0x4201C2
Tag,(Reserved),420XXX – 42FFFF
Tag,(Unused),430000 – 53FFFF
Tag,Extensions,540000 – 54FFFF
Tag,(Unused),550000 - FFFFFF
Ticket Type,Login,00000001
Ticket Type,Extensions,8XXXXXXX
Unique Identifier,ID Placeholder,00000001
Unique Identifier,Certify,00000002
Unique Identifier,Create,00000003
Unique Identifier,Create Key Pair,00000004
Unique Identifier,Create Key Pair Private Key,00000005
Unique Identifier,Create Key Pair Public Key,00000006
Unique Identifier,Create Split Key,00000007
Unique Identifier,Derive Key,00000008
Unique Identifier,Import,00000009
Unique Identifier,Join Split Key,0000000A
Unique Identifier,Locate,0000000B
Unique Identifier,Register,0000000C
Unique Identifier,Re-key,0000000D
Unique Identifier,Re-certify,0000000E
Unique Identifier,Re-key Key Pair,0000000F
Unique Identifier,Re-key Key Pair Private Key,00000010
Unique Identifier,Re-key Key Pair Public Key,00000011
Unique Identifier,Re-Provision,00000012
Unique Identifier,Create User,00000013
Unique Identifier,Create Group,00000014
Unique Identifier,Create Credential,00000015
Unique Identifier,Extensions,8XXXXXXX
Unwrap Mode,Unspecified,00000001
Unwrap Mode,Processed,00000002
Unwrap Mode,Not Processed,00000003
Unwrap Mode,Extensions,8XXXXXXX
Usage Limits Unit,Byte,00000001
Usage Limits Unit,Object,00000002
Usage Limits Unit,Extensions,8XXXXXXX
Validity Indicator,Valid,00000001
Validity Indicator,Invalid,00000002
Validity Indicator,Unknown,00000003
Validity Indicator,Extensions,8XXXXXXX
Wrapping Method,Encrypt,00000001
Wrapping Method,MAC/sign,00000002
Wrapping Method,Encrypt then MAC/sign,00000003
Wrapping Method,MAC/sign then encrypt,00000004
Wrapping Method,TR-31,00000005
Wrapping Method,Extensions,8XXXXXXX
Validation Authority Type,Unspecified,00000001
Validation Authority Type,NIST CMVP,00000002
Validation Authority Type,Common Criteria,00000003
Validation Authority Type,Extensions,8XXXXXXX
Validation Type,Unspecified,00000001
Validation Type,Hardware,00000002
Validation Type,Software,00000003
Validation Type,Firmware,00000004
Validation Type,Hybrid,00000005
Validation Type,Extensions,8XXXXXXX
